track,artist,valence_tags,arousal_tags,dominance_tags,genre,emotion,tags
Body Machine Body (Freakangel Remix),Leæther Strip,3.94,4.36,4.83,dark electro,sad,"['dark electro', 'ebm', 'gritty', 'melodramatic']"
03 Ты мне казалась,Ласка,3.578,4.218,4.008,indie,sad,"['indie', 'pop rock', 'russian', 'Ballad', 'depression', 'lonely', 'Pop-Rock', 'heart', 'life', 'electrorock']"
Feelin' Fine,Ultrabeat,7.484999999999999,5.2375,6.9925,dance,happy,"['dance', 'party', 'Uplifting', 'BlooDxMoBx', 'pop', 'british', 'oldschool', 'happy', 'upbeat', 'summer']"
What Makes You Think You're the One,Fleetwood Mac,4.883309352517986,4.522302158273381,4.972446043165467,rock,sad,"['rock', 'classic rock', '70s', 'Fleetwood Mac', 'pop', 'alternative rock', 'hard rock', 'guitar', 'Awesome Guitar Jams', 'lindsey buckingham']"
Last Good Sleep,Company Flow,4.973714285714285,4.391714285714286,4.824285714285714,hip-hop,sad,"['Hip-Hop', 'underground hip-hop', 'dark', 'poetry', 'essential nerd rap', 'hip hop', 'rap', 'new york', 'moody', 'hiphop']"
Girl,Sibylle Baier,6.8,2.9448799999999995,6.427359999999998,folk,happy,"['folk', 'female vocalists', 'singer-songwriter', 'Mellow', 'soft', 'acoustic', 'indie', 'Lo-Fi', 'female vocalist', 'vugube62']"
America Loves Gangsters,CunninLynguists,5.65,6.6,5.57,hip-hop,happy,"['Hip-Hop', 'hip hop', 'Dope', 'rap', 'CunninLynguists', 'conversation with god', 'Real hip-hop', 'brain2brain', 'seen live', 'intense']"
04 - Pleasure and Pain,Ben Harper & The Innocent Criminals,6.62,2.97,6.8533333333333335,unknown,happy,"['Mellow', 'current favourites']"
Careless Love,Bonnie 'Prince' Billy,4.228728813559322,3.391101694915254,4.531864406779661,folk,sad,"['folk', 'singer-songwriter', 'Alt-country', 'americana', 'blues', 'soft', 'chillout', 'jazz', 'rock', 'Love']"
Square Four,Buck 65,4.4,6.0,4.48,unknown,sad,"['spooky', 'haunting', 'funky', 'personal favourites', 'adrien wayne', 'dark and long', 'Trivially Serious']"
Der Zörn Gottes,Dernière Volonté,5.4,4.23,4.59,martial industrial,happy,"['martial industrial', 'seen live', 'ambient', 'neofolk', 'martial', 'martial ambient', 'Martial Neofolk', 'Military Ambient']"
For Muzik,4minute,6.203333333333333,5.766666666666667,5.673333333333334,k-pop,happy,"['k-pop', 'Korean', '4minute', 'dance', 'r&b', 'Brutal Death Metal', 'brutal deathcore', 'pop', '2009', 'intro']"
South Pennsylvania Waltz,16 Horsepower,4.035238095238095,3.5428571428571427,3.795873015873016,country,sad,"['Alt-country', 'southern gothic', 'country', 'folkrock', 'gloomy', 'rock', 'americana', 'Awesome', 'New Weird America', 'gothabilly']"
Galaxy Gramophone,The Soundtrack of Our Lives,4.14,6.62,3.32,swedish,sad,"['swedish', 'psychedelic', 'explosive', 'brilliant', '10 of 10 stars', '1996', 'neo psychedelic', 'b side']"
Would You Mind,Janet Jackson,7.019310344827586,6.472413793103449,5.888275862068965,pop,happy,"['sexy', 'rnb', 'pop', 'female vocalists', 'janet jackson', 'soul', '2000s', 'rap', 'sensual', 'janet jackson - would you mind']"
Quarter To Seven,The Fairways,5.9,3.81,6.67,unknown,happy,"['aaa', 'earnest', 'love song', 'Rushmore', 'a mental popsicle', 'city calm down']"
French Blue,Janet Jackson,6.536666666666667,5.14,6.18,soul,happy,"['soul', 'sexy', 'dance', 'urban', 'funk', 'cool', 'b-side', 'funny', '1984', 'favorite by this singer']"
Item-Sortilegium,Laïs,3.0,5.35,3.7,folk,sad,"['folk', 'female vocalists', 'scary', '00s', 'belgian', 'close harmony', 'Vlaams', 'again', '1309fh']"
In My Life,Johnny Cash,4.9443636363636365,3.958545454545455,5.037272727272727,country,sad,"['country', 'cover', 'folk', 'Johnny Cash', 'covers', 'acoustic', 'beatles cover', 'singer-songwriter', 'sad', 'cash']"
Why Don't We Do It in the Road?,The Beatles,6.277301587301587,5.396984126984128,5.912222222222224,classic rock,happy,"['classic rock', 'rock', '60s', 'british', 'The Beatles', 'pop', 'blues rock', 'sex', 'beatles', '1968']"
Hello Sunshine,Super Furry Animals,6.787142857142857,3.970612244897959,6.312551020408163,indie,happy,"['indie', 'the oc', 'rock', 'indie rock', 'alternative', 'Mellow', 'Soundtrack', 'indie pop', 'beautiful', 'chill']"
I'm Taking the Train Home,The Twilight Sad,4.296666666666667,4.213333333333333,3.8666666666666663,indie,sad,"['indie', 'indie rock', 'shoegaze', 'Scottish', 'rock', 'trains', 'Eargasm', 'alternative', 'noise rock', 'post-rock']"
Ring My Bell,Salty Dog,3.85,5.64,4.6,rock,sad,"['rock', '80s', 'hard rock', 'hair metal', 'rock n roll', 'songs i love', 'sleazy', 'Cock rock', '80s Heavy Metal', 'sleaze']"
Quasimodo's Thump,Ernesto Schnack,7.12,6.1,6.86,acoustic,happy,"['instrumental', 'fast', 'acoustic', 'world', 'groove', 'ethnic', 'Jam', 'uptempo', 'Middle-Eastern', 'lively']"
Arrival of the Birds,The Cinematic Orchestra,4.715815899581591,3.9075732217573225,4.5557322175732216,chill,sad,"['chillout', 'beautiful', 'melancholy', 'instrumental', 'Something Beautiful', 'theinfinitesadness', 'chill', 'Soundtrack', 'epic', 'strings']"
Mr. Handagote,Tomáš Dvořák,6.546666666666667,4.283333333333333,5.753333333333334,electronic,happy,"['electronic', 'Soundtrack', 'ambient', 'chillout', 'chill', 'experimental', 'Love', 'beautiful', '8-bit', 'Soundtracks']"
Fake Plastic Trees,Radiohead,4.882053571428572,3.857321428571429,4.973392857142857,alternative,sad,"['alternative', 'alternative rock', 'rock', 'radiohead', '90s', 'british', 'beautiful', 'indie', 'sad', 'Mellow']"
Girl,John Parish & Polly Jean Harvey,4.865,3.49,5.24,alternative,sad,"['alternative', 'freedom', 'may', 'ugly', 'v0k4l str1ngs']"
Mirror,Resurrection Band,3.19,5.0,3.21,hard rock,sad,"['hard rock', 'heavy metal', 'christian rock', 'desperate', 'christian metal']"
umbrella,The Northern Coast,6.665,3.79,6.155,indie,happy,"['manc', 'indie', 'british', 'singer-songwriter', 'UK', '2008', 'unsigned', 'acoustic', 'Lo-Fi', 'beautiful']"
Strip (feat. Kevin McCall),Chris Brown,7.42,5.375,6.295,r&b,happy,"['rnb', 'r&b', 'Like', 'sensual', '5 of 10 stars']"
Underfoot,JK Flesh,4.52,3.635,4.23,industrial,sad,"['industrial', 'experimental', 'dark', 'bleak', 'Post-Industrial', 'Justin Broadrick', 'industrial dub', 'justin karl michael broadrick']"
The Wind,Billy Bob Thornton,2.7425,3.395,3.935,classic rock,sad,"['Warren Zevon', 'covers', 'classic rock', 'rock', 'country', 'alternative rock', 'Progressive rock', 'blues', 'guitar', 'cover']"
Don't Care 'bout Nothin',Shotgun Messiah,3.85,5.64,4.6,hard rock,sad,"['hard rock', 'hair metal', 'Glam Metal', '80s', 'glam rock', '80s hard rock', 'heavy metal', 'rock', 'rock n roll', 'sleazy']"
Stay and Fight,Tamar Braxton,6.37,3.945,6.22,soul,happy,"['soul', 'female vocalists', 'smooth', 'rnb', 'sophisticated', '8 of 10 stars', 'emotion', '2010s', 'drama', 'classy']"
Rewind,Stereophonics,5.827727272727272,3.855454545454545,5.800909090909092,rock,happy,"['rock', 'alternative rock', 'indie', 'indie rock', 'Stereophonics', 'alternative', 'britpop', 'british', 'Reflective', '2005']"
Supervillian Music,Chilly Gonzales,6.3933333333333335,4.986666666666666,6.3533333333333335,unknown,happy,"['seen live', 'Canadian', 'male vocalists', 'funny', 'silly']"
Resolution 7,FGFC820,3.94,4.36,4.83,ebm,sad,"['ebm', 'Harsh EBM', 'electronic', 'industrial', 'glitchy', 'Rhythmic Noise', 'gritty', 'totalitarian', 'rotating', 'back voices']"
This Time Tomorrow,Rinaldi Sings,5.711775147928994,3.4426627218934907,5.184260355029585,indie pop,happy,"['Sixties Pop', 'indie pop', 'quirky', 'upbeat', ""60's"", 'northern soul', 'mod', 'sixties', '60s pop', 'Brit-pop']"
Elusive Rmx,Ms. John Soda,7.273333333333333,3.3766666666666665,6.366666666666666,indie,happy,"['indie', 'chillout', 'femalevocalistsgdchill', 'electronic', 'warm', 'electronica', 'female', 'pop', 'indie pop', 'indie rock']"
(A Berlin) Drill,Wire,2.475,1.85,3.38,british,sad,"['soundtrackgdchill', '80s', 'british', 'experimental', 'industrial', 'post-punk', 'psychedelic', 'Avant-Garde', 'art punk', 'alternative dance']"
Gold Forever,The Wanted,6.679999999999999,4.37,5.05,pop,happy,"['pop', 'british', 'the wanted', '2011', 'UK', 'piano', 'nostalgic', 'male vocalists', 'lovely', 'nostalgia']"
Snowfaller,The Church,7.95,6.95,7.21,unknown,happy,"['Psychedelia', 'Best of 2005', 'exciting', 'grandiose', 'echoey-achey', 'icy winter', 'severe beauty']"
Ralph the Carpenter,Mike Warnke,2.816666666666667,5.1866666666666665,4.076666666666667,spoken word,sad,"['fat', 'spoken word', 'christian', 'fake', 'lies', 'greed', 'stealing', 'misc', 'theft', 'white']"
Over My Head,Moloko,4.1795,2.8274999999999997,3.783,trip-hop,sad,"['trip-hop', 'electronic', 'female vocalists', 'Moloko', 'british i like', 'british', 'alternative', 'dance', 'quirky', 'trip hop']"
Threads,This Will Destroy You,5.689814814814815,4.316111111111112,5.139814814814815,post-rock,happy,"['post-rock', 'instrumental', 'ambient', 'post rock', 'beautiful', 'atmospheric', 'experimental', 'emotional', 'melancholic', 'epic']"
Alles dreht sich,Mangara,7.17,6.33,6.62,electronic,happy,"['electronic', 'electronica', 'pop', 'downtempo', 'electro', 'tricky', 'deutsch', 'Passionate', 'great', 'elektro']"
West L.A. Fadeaway,Grateful Dead,3.3033333333333332,3.423333333333333,5.556666666666667,classic rock,sad,"['classic rock', '80s', 'blues', 'heard on Pandora', 'jam band', 'loved', 'folkrock', 'places', 'Jam Bands', '1987']"
Beautiful,Joydrop,4.893333333333334,3.6,5.011666666666667,rock,sad,"['rock', 'alternative rock', 'Canadian', 'joydrop', 'Soundtrack', 'alternative', 'female vocalists', 'beautiful', '90s', '4 Stars']"
Dviese prieglobstyje nakties,Grad_U,5.27,4.095,4.905,ambient,happy,"['ambient', 'beautiful', 'atmospheric', 'creme de la creme', 'clinical', 'lithuanian', 'Ambient Techno', 'metro downtempo', 'Torquemada', 'seasplash']"
Full of Nothing,monotalk,2.925,4.935,4.22,unknown,sad,"['Coldplay', 'paranoid', 'karma police', 'Nick Cave', 'travis', 'creep', 'Fake Plastic Trees', 'jonny greenwood', ""jane's addiction"", 'tom york']"
Wolfsblood,Misfits,1.69,3.0650000000000004,1.745,punk,sad,"['punk', 'horror punk', 'punk rock', 'hardcore punk', 'Misfits', 'rock', 'horror', 'halloween', 'old school hardcore punk', 'true hardcore punk']"
Busy,K's Choice,5.256666666666666,3.313333333333333,5.53,pop,happy,"['pop', 'alternative', 'alternative rock', 'indie pop', 'female vocalists', 'belgian', 'Ks Choice', 'hurricane festival 2010', 'indie', 'rock']"
Into the Forest,Danny Elfman,5.125,5.34,4.69,soundtrack,happy,"['Soundtrack', 'instrumental', 'ost', 'tim burton', 'Corpse Bride Soundtrack', 'danny elfman', 'Corpse Bride', 'ambient', 'dark', 'american']"
Aina Nälkä,Sielun Veljet,5.2375,5.2125,4.9875,rock,happy,"['suomirock', 'finnish', 'rock', 'punk', 'elandal loved', 'elandal pl-aggressiivinen', '80s', 'memories', 'Love', 'loud']"
Suga Mama,Beyoncé,7.03910447761194,5.686119402985074,6.029402985074627,pop,happy,"['rnb', 'pop', 'beyonce', 'female vocalists', 'sexy', 'soul', 'r&b', 'Hip-Hop', 'funky', 'funk']"
Feel So Close (Extended Mix),Calvin Harris,6.95,4.7,6.75,house,happy,"['House', 'Progressive House', 'dance', 'electro house', 'male vocals', 'electronic', 'electronica', 'alternative', 'upbeat', 'party']"
Dings,Annett Louisan,7.169999999999999,3.4949999999999997,6.04,swing,happy,"['swing', 'pop', 'german', 'deutsch', 'jazz', 'chanson', 'singer-songwriter', 'Female Voices', 'female vocalists', 'accoustic']"
White Coats,Foxes,6.526363636363636,3.557272727272727,6.153636363636363,pop,happy,"['pop', 'Mellow', 'chillout', 'chill', 'female vocalists', 'world', '3', 'World Music', 'sunflower', 'Skitz0rz']"
Old Man [Live At Massey Hall 1971],Neil Young,1.885,2.4925,2.575,classic rock,sad,"['classic rock', 'folk', 'singer-songwriter', 'Canadian', 'live', 'rock', '70s', 'acoustic', 'classic', 'country']"
Cheap Thrills,Plastic Little,5.895,4.9975,5.744166666666667,chill,happy,"['chill', 'classic', 'USA', 'dance', 'underground hip-hop', 'thoughtful', 'upbeat', 'Energetic', 'atmospheric', 'american']"
But Not for Me,Julie London,7.0,4.43,5.95,easy listening,happy,"['60s', 'easy listening', 'elegant', 'jazz', 'female vocalists', 'vocal jazz', 'oldies', 'gershwin', 'love this tune', 'cinematographical']"
The Dark,Azar Baksh,5.642,3.978,4.948,unknown,happy,"['Love', 'beautiful', 'space', 'inspirational', 'meditative', 'heart', 'english', 'powerful', 'Loving', 'touching']"
20 Years of Hell,Anti-Flag,2.485,5.7,3.72,punk,sad,"['punk', 'punk rock', 'Punk-Rock', 'Political Punk Rock', 'high energy', 'death', 'angry', '1998', 'political', 'male vocalist']"
Silk and Leather,Shelagh McDonald,4.316666666666666,1.92,4.576666666666667,folk,sad,"['folk', 'singer-songwriter', 'british', 'folk-rock', 'Mellow', 'british folk', 'autumnal', 'autumn', 'Sentimental', 'british folk-rock']"
Channel 8,Aufgang,5.88,4.05,5.67,classical,happy,"['Classical', 'jazz', 'electro', 'free', '2000s', 'midtempo', 'serious']"
Time of Our Lives,Pitbull,8.47,6.05,7.21,party,happy,"['party', 'pop', '2015', 'Ne-Yo', 'Pitbull', 'Hip-Hop', 'club', '2010s', 'electronic', 'hip hop']"
Dust,Mathias Grassow,4.32,3.55,5.17,ambient,sad,"['ambient', 'dark ambient', 'drone', 'cold', 'ambient noise', 'electronic', 'soundscape', 'Avant-Garde', 'drone ambient', 'Cold ambient']"
The Freaks,The Tiger Lillies,7.81,5.33,6.8,british,happy,"['british', 'cabaret', 'rock', 'alternative', 'weird', 'crazy', '3', 'Avant-Garde', 'comedy', 'dark cabaret']"
When the Spice Hits,John Pinette,6.983333333333333,5.1066666666666665,6.213333333333334,comedy,happy,"['comedy', 'stand-up', 'humor', 'standup', 'comedian', 'john pinette', 'Stand Up', 'stand-up comedy', 'standup comedy', 'stand up comedy']"
Lightwaves,Electric Skychurch,5.07876404494382,3.558314606741573,4.363595505617978,ambient,happy,"['ambient', 'chillout', 'atmospheric', 'vule', 'electronic', 'idm', 'Ambient Techno', 'ambient lounge', 'electronica', 'downtempo']"
Ponekad,Slađana Milošević,6.32,5.13,6.18,unknown,happy,['sophisticated']
Baiulus,The Black Atlantic,6.47,1.95,5.8,indie,happy,"['indie', 'under two minutes', 'listen more', 'folk', 'beautiful', 'quiet', 'fotomotor', 'Mars', 'shorter than 2 minutes', 'soon come to el lokal']"
愛し子よ,ルルティア,6.57,5.04,5.79,alternative,happy,"['alternative', 'singer-songwriter', 'alternative rock', 'indie pop', 'dream pop', 'creepy', 'dark lyrics', 'mystical', 'Beautiful Song', 'creepy lyrics']"
Chain of Fools,Little Caesar,3.850000000000001,5.64,4.6,hard rock,sad,"['hard rock', 'Glam Metal', 'cover', 'rock n roll', 'sleaze rock', 'rock', '80s', '90s', 'blues rock', 'cover songs']"
Broken,David Nevue,2.8125,2.2225,3.36,piano,sad,"['piano', 'instrumental', 'sad', 'melanie', 'wistful', 'soothing', 'piano solo', 'the evening shadows', 'christian piano', 'genre: contemporary piano']"
Five Years,David Bowie,5.559830508474576,4.07406779661017,4.833389830508475,glam rock,happy,"['glam rock', 'classic rock', 'rock', '70s', 'david bowie', 'glam', 'british', 'epic', 'bowie', 'alternative']"
New Dark Age / Hothouse,The Sound,3.595,2.4,2.66,new wave,sad,"['epic', 'new wave', 'post-punk', 'underrated', 'apocalyptic']"
Undress Me Now,Morcheeba,6.985063291139241,5.1112658227848105,6.115443037974683,trip-hop,happy,"['chillout', 'trip-hop', 'female vocalists', 'downtempo', 'sexy', 'electronic', 'Morcheeba', 'lounge', 'trip hop', 'chill']"
Saltarno,Ophelia's Dream,0.855049504950495,0.6884158415841585,0.775940594059406,neoclassical darkwave,sad,"['Gothic', 'neoclassical', 'ethereal', 'brilliant', 'neo-classic darkwave', 'darkwave', 'Fantasy Ambient', 'medieval ambient', 'neoclassical darkwave', 'dungeon synth']"
Gathered Years,Brightblack Morning Light,4.4,6.0,4.48,indie,sad,"['hippie shoegaze', 'chillout', 'indie', 'rock', 'indie rock', 'spooky', 'best of 2008', 'matador', 'new mexico']"
Necromancer,Gnarls Barkley,3.4462790697674417,2.23953488372093,3.113953488372093,hip-hop,sad,"['Hip-Hop', 'soul', 'funk', 'alternative', 'electronic', 'hip hop', 'pop', 'halloween', 'electronica', 'chill']"
Pack Up,Eliza Doolittle,8.051071428571428,5.767678571428573,6.93892857142857,pop,happy,"['female vocalists', 'pop', 'funky', 'british', 'soul', '2010', 'eliza doolittle', 'lizvelrene2010', 'happy', 'Pack Up']"
Poor Wayfaring Stranger,Natalie Merchant,3.806,4.1375,4.293,folk,sad,"['folk', 'female vocalists', 'melancholy', 'natalie merchant', 'acoustic', 'cover', 'Alternative Folk', 'country', 'sad', 'singer-songwriter']"
月と手のひら,Lunkhead,5.7725,3.475,5.75,unknown,happy,"['Mellow', 'japanese rock', 'Sentimental', 'tender', 'tearjerker', 'tearful']"
Beklagenswaardig Bestaan,Zelfhaat,2.92,3.915,3.94,black metal,sad,"['black metal', 'depressive black metal', 'doom metal', 'negative', 'suicidal', 'mournful', 'DSBM', 'depressive']"
Mouth Full Of Cavities,Blind Melon,4.127835051546391,4.136391752577319,4.357938144329896,grunge,sad,"['Grunge', 'Blind Melon', 'rock', 'alternative rock', 'alternative', '90s', 'acoustic', 'male-female vocal duo', 'beautiful', 'folk rock']"
That Summer Feeling,Jonathan Richman And The Modern Lovers,7.1899999999999995,4.586,6.351999999999999,indie,happy,"['indie', 'pop', 'classic rock', '80s', 'summer', 'homosexual intifada', 'ruhepuls', '70s', 'punk', 'sexy']"
Missed My Chance,Griffin House,4.985074626865671,2.0970149253731343,5.223880597014926,indie,sad,"['Mellow', 'indie', 'singer-songwriter', 'slow', 'acoustic', 'introspective', 'male vocalists', 'quiet acoustic goodness', 'list-datomm', 'music new to me']"
"Fred Jones, Part 2",Ben Folds,4.360661157024793,3.5379338842975203,5.05520661157025,sad,sad,"['sad', 'piano', 'singer-songwriter', 'rock', 'Mellow', 'alternative', 'ben folds', 'indie', 'piano rock', 'indie rock']"
Alone Together,Marit Bergman,4.72125,3.28125,4.0275,pop,sad,"['pop', 'indie pop', 'serenity', 'floaty', 'sleek', 'Bergman', 'Greatest Songs Of All Time', 'check it', 'riveting', 'MArit Bergman']"
There Ain't No Santa Claus on the Evenin' Stage,Captain Beefheart & His Magic Band,3.287159763313609,3.332366863905325,4.257041420118344,rock,sad,"['rock', 'christmas', 'blues', 'guitar', 'Alternative  Punk', 'quirky', 'bluesy', 'harmonica', 'blues rock', '1970s']"
Hallelujah,Hothouse Flowers,3.05,3.05,5.79,soft rock,sad,"['soft rock', 'heard on Pandora', 'lazy', 'the word hallelujah']"
The Best Ever Death Metal Band In Denton,The Mountain Goats,5.49081081081081,3.9587837837837823,5.12945945945946,lo-fi,happy,"['Lo-Fi', 'acoustic', 'indie', 'folk', 'hail satan', 'singer-songwriter', 'indie folk', 'quirky', 'Great Lyricists', 'narrative lyrics']"
Kill The Music Industry,Cold,3.9066666666666663,4.323333333333333,5.276666666666666,rock,sad,"['rock', 'alternative rock', '00s', 'cold', 'post-grunge', 'metal', 'hard rock', 'american', 'aggressive', 'Favorite']"
Queen Bee,Neil Halstead,7.935,4.835,6.685,indie,happy,"['indie', 'alternative', '2008', 'fun', 'warm', 'woxy', 'different', 'artists and bands i recommend or have recommended', 'anartfuldodger2010', 'Suf Ordinary']"
Gone For Good,Everlast,7.0175,4.5975,6.5475,hip-hop,happy,"['Hip-Hop', 'positive', 'chill', 'rock', 'alternative', 'alternative rock', 'summer', 'blues rock', 'sweet', 'House Of Pain']"
Marcie,Joni Mitchell,2.2575,2.115,2.165,folk,sad,"['folk', '60s', 'singer-songwriter', 'classic rock', 'female vocalists', 'melancholic', '1968', 'critically acclaimed song', 'acclaimed music top 3000 bubbling under', 'alternative']"
